latitude,longitude,brightness,acq_date,acq_time
-29.334,152.791,323.9,12/11/2019,1445
-15.326,143.806,332.4,14/11/2019,50
-32.692,121.132,366.1,26/12/2019,550
-15.295,127.466,334.8,17/12/2019,130
-19.822,143.453,318.1,23/12/2019,1305
-32.16,151.375,313.3,30/12/2019,1310
-29.181,153.264,354.1,22/11/2019,5
-29.261,152.401,329.5,9/11/2019,315
-30.009,151.938,336.6,4/12/2019,2335
-12.996,136.282,332.8,8/12/2019,140
-31.392,150.841,333,17/12/2019,0
-34.62,138.715,369.6,20/12/2019,30
-33.434,151.103,325.3,8/12/2019,5
-15.801,143.374,338.9,24/12/2019,425
-12.613,135.061,303.2,17/12/2019,1345
-27.252,127.71,341.2,26/12/2019,550
-28.253,152.538,347.5,19/12/2019,405
-25.777,152.03,338,4/12/2019,310
-15.837,141.777,330.9,17/12/2019,420
-17.52,144.792,360,18/12/2019,35
-29.103,152.53,338.2,9/10/2019,400
-12.351,132.311,320.6,23/10/2019,415
-30.194,150.832,336.1,6/12/2019,435
-29.786,152.622,341.9,14/11/2019,335
-16.512,137.607,339.5,15/12/2019,430
-30.199,150.161,304.1,25/10/2019,1455
-35.932,136.851,347.9,3/01/2020,500
-12.753,136.344,334.8,5/01/2020,450
-37.624,148.068,363.6,30/12/2019,1310
-37.652,148.341,308.9,31/12/2019,1215
-14.316,131.983,361.6,21/10/2019,1350
-34.259,150.177,341.6,18/12/2019,2345
-30.676,151.989,343,17/12/2019,0
-37.099,147.045,324.6,3/01/2020,1600
-27.821,131.884,353.6,30/12/2019,105
-30.204,150.136,310.2,24/10/2019,1240
-32.46,123.246,303.1,29/12/2019,1405
-30.962,152.041,317.9,7/11/2019,1425
-34.18,150.367,310.9,7/12/2019,1305
-37.278,148.407,313.8,20/12/2019,1230
-28.201,129.745,351.5,2/01/2020,555
-31.446,152.205,325.1,7/11/2019,2350
-13.923,131.176,340,23/10/2019,125
-11.217,142.331,318.1,13/10/2019,340
-15.804,135.477,332,27/11/2019,155
-37.519,148.211,380.7,30/12/2019,1310
-15.099,128.272,328.8,18/12/2019,215
-33.861,150.406,326,4/01/2020,1505
-12.775,135.463,346.1,26/10/2019,445
